date,price_per_barrel,price_per_barrel_open,price_per_barrel_max,price_per_barrel_min,price_per_barrel_volume,relative_diff_lag_1
2023-05-05,75.5,72.64,75.64,72.42,,4.08
2023-05-04,72.54,71.42,73.72,71.42,,0.29
2023-05-03,72.33,75.31,75.58,71.7,469.62,-3.97
2023-05-02,75.32,79.28,79.78,75.07,383.59,-5.03
2023-05-01,79.31,80.11,80.24,78.13,146.56,-0.29
2023-04-28,79.54,78.25,79.61,77.69,13.3,1.49
2023-04-27,78.37,77.77,78.61,77.39,104.39,0.88
2023-04-26,77.69,80.92,81.47,77.46,172.82,-3.81
2023-04-25,80.77,82.59,83.06,80.35,209.28,-2.37
2023-04-24,82.73,81.87,82.99,80.48,197.9,1.31
2023-04-21,81.66,80.79,82.05,80.45,196.85,0.69
2023-04-20,81.1,82.75,82.92,80.77,302.9,-2.43
2023-04-19,83.12,84.9,85.15,82.39,333.22,-1.95
2023-04-18,84.77,84.74,85.41,83.81,315.7,0.01
2023-04-17,84.76,86.43,86.52,84.34,261.81,-1.8
2023-04-14,86.31,86.18,86.87,85.53,262.58,0.26
2023-04-13,86.09,87.19,87.47,86.05,291.94,-1.42
2023-04-12,87.33,85.59,87.49,85.39,347.8,2.01
2023-04-11,85.61,84.24,85.67,83.75,262.67,1.7
2023-04-10,84.18,85.1,85.66,84.09,140.53,-1.1
2023-04-06,85.12,84.89,85.45,84.05,259.62,0.15
2023-04-05,84.99,85.22,85.54,84.01,246.48,0.06
2023-04-04,84.94,84.89,86.04,83.82,308.53,0.01
2023-04-03,84.93,86.0,86.44,83.5,478.31,6.47
2023-03-31,79.77,79.19,79.8,78.54,6.85,0.63
2023-03-30,79.27,78.23,79.55,77.86,62.92,1.26
2023-03-29,78.28,78.97,79.68,77.94,79.54,-0.47
2023-03-28,78.65,78.23,79.2,77.54,145.68,0.68
2023-03-27,78.12,75.0,78.42,74.8,146.95,4.17
2023-03-24,74.99,75.53,76.32,72.68,156.31,-1.21
2023-03-23,75.91,75.87,77.44,75.12,199.64,-0.62
2023-03-22,76.38,74.9,76.79,74.26,244.69,1.8
2023-03-21,75.03,73.44,75.12,72.62,297.9,2.03
2023-03-20,73.54,72.97,73.65,70.06,348.71,1.06
2023-03-17,72.77,74.3,75.59,71.38,477.37,-2.05
2023-03-16,74.29,73.85,75.12,71.49,306.2,1.38
2023-03-15,73.28,77.3,78.26,71.3,576.46,-5.38
2023-03-14,77.45,80.54,80.92,76.89,357.86,-4.11
2023-03-13,80.77,82.6,83.48,78.34,467.28,-2.43
2023-03-10,82.78,81.47,83.11,80.73,369.28,1.46
2023-03-09,81.59,82.55,84.0,81.42,282.56,-1.29
2023-03-08,82.66,83.03,83.59,82.06,297.09,-0.76
2023-03-07,83.29,86.23,86.75,82.83,295.19,-3.35
2023-03-06,86.18,85.83,86.35,84.34,244.34,0.41
2023-03-03,85.83,84.61,86.0,82.36,312.9,1.27
2023-03-02,84.75,84.31,85.1,83.83,214.22,0.52
2023-03-01,84.31,83.05,84.49,82.61,242.66,0.5
2023-02-28,83.89,82.3,84.15,82.19,12.3,1.75
2023-02-27,82.45,83.19,83.6,81.73,58.85,-0.45
2023-02-24,82.82,82.33,83.09,80.75,289.76,1.06
2023-02-23,81.95,80.31,82.46,80.25,293.33,1.86
2023-02-22,80.45,82.5,82.96,80.3,297.26,-3.13
2023-02-21,83.05,83.86,84.2,82.56,231.63,-1.21
2023-02-20,84.07,83.15,84.3,82.73,143.85,1.29
2023-02-17,83.0,84.6,84.87,81.8,303.66,-2.51
2023-02-16,85.14,85.27,86.21,84.6,197.02,-0.28
2023-02-15,85.38,85.2,85.85,83.88,245.98,-0.23
2023-02-14,85.58,85.83,86.42,84.13,231.63,-1.19
2023-02-13,86.61,86.51,86.95,85.1,207.62,0.25
2023-02-10,86.39,84.22,86.9,83.93,297.34,2.24
2023-02-09,84.5,84.96,85.5,83.05,260.73,-0.69
2023-02-08,85.09,84.11,85.15,83.51,254.14,1.67
2023-02-07,83.69,81.26,84.13,81.19,290.98,3.33
2023-02-06,80.99,79.61,81.43,79.1,325.21,1.31
2023-02-03,79.94,82.27,84.2,79.62,330.32,-2.71
2023-02-02,82.17,83.34,83.61,81.25,287.09,-0.81
2023-02-01,82.84,85.56,86.21,82.37,348.66,-1.95
2023-01-31,84.49,85.18,85.25,83.73,11.89,-0.48
2023-01-30,84.9,86.88,87.48,84.66,65.55,-2.03
2023-01-27,86.66,87.65,88.95,85.69,107.08,-0.93
2023-01-26,87.47,86.35,88.01,85.74,139.1,1.57
2023-01-25,86.12,86.28,87.0,85.41,159.47,-0.01
2023-01-24,86.13,88.07,88.71,85.8,207.75,-2.34
2023-01-23,88.19,87.7,89.09,86.92,192.41,0.64
2023-01-20,87.63,86.42,87.79,85.58,212.92,1.71
2023-01-19,86.16,84.34,86.85,83.76,250.96,1.39
2023-01-18,84.98,86.45,87.85,84.36,288.15,-1.09
2023-01-17,85.92,84.2,86.82,84.04,238.3,1.73
2023-01-16,84.46,85.36,85.59,83.83,125.96,-0.96
2023-01-13,85.28,83.91,85.5,83.5,217.4,1.49
2023-01-12,84.03,82.88,84.62,82.37,264.07,1.65
2023-01-11,82.67,79.52,83.0,79.31,273.79,3.21
2023-01-10,80.1,79.54,80.89,78.81,244.35,0.56
2023-01-09,79.65,78.42,81.37,78.42,245.12,1.37
2023-01-06,78.57,78.8,80.59,78.05,215.42,-0.15
2023-01-05,78.69,78.16,79.97,77.61,259.58,1.09
2023-01-04,77.84,82.31,82.72,77.72,319.31,-5.19
2023-01-03,82.1,85.96,87.0,81.78,302.86,-4.43
2022-12-30,85.91,83.71,86.0,82.88,168.65,4.44
2022-12-29,82.26,82.88,83.14,81.28,10.99,-1.2
2022-12-28,83.26,84.6,84.76,81.92,57.56,-1.68
2022-12-27,84.68,85.0,86.1,84.19,160.09,0.21
2022-12-23,84.5,82.32,84.7,81.83,180.4,3.47
2022-12-22,81.67,82.93,84.21,81.35,211.18,-1.1
2022-12-21,82.58,80.53,82.92,80.06,178.09,2.55
2022-12-20,80.53,80.6,81.19,79.0,184.12,0.49
2022-12-19,80.14,79.49,81.19,79.02,164.92,0.82
2022-12-16,79.49,81.44,81.87,78.76,236.09,-2.25
2022-12-15,81.32,82.84,83.18,80.92,162.08,-1.73
2022-12-14,82.75,80.53,83.22,80.31,178.26,2.34
2022-12-13,80.86,78.53,81.34,78.41,201.46,3.22
2022-12-12,78.34,77.34,78.89,75.67,158.37,2.27
2022-12-09,76.6,77.15,77.81,75.64,157.0,0.01
2022-12-08,76.59,77.9,79.49,76.19,209.68,-1.29
2022-12-07,77.59,80.07,80.79,77.32,207.04,-2.61
2022-12-06,79.67,83.19,83.69,79.05,225.87,-3.62
2022-12-05,82.66,85.7,88.2,82.53,193.04,-3.38
2022-12-02,85.55,86.69,87.68,85.17,141.36,-1.53
2022-12-01,86.88,86.78,89.37,86.26,229.13,1.7
2022-11-30,85.43,83.77,85.67,83.61,9.05,2.89
2022-11-29,83.03,82.41,86.0,82.39,67.93,-0.19
2022-11-28,83.19,83.58,84.1,80.61,102.56,-0.53
2022-11-25,83.63,85.5,86.87,83.59,85.31,-2.0
2022-11-24,85.34,85.04,85.54,83.9,75.61,-0.08
2022-11-23,85.41,88.47,89.56,84.12,212.14,-3.34
2022-11-22,88.36,87.76,89.9,87.35,190.85,1.04
2022-11-21,87.45,87.74,87.98,82.31,354.6,-0.19
2022-11-18,87.62,90.1,90.63,85.8,379.66,-2.41
2022-11-17,89.78,92.73,92.91,89.53,313.53,-3.32
2022-11-16,92.86,94.11,94.79,91.67,257.62,-1.07
2022-11-15,93.86,92.59,95.77,91.53,317.5,0.77
2022-11-14,93.14,95.87,96.95,92.5,248.25,-2.97
2022-11-11,95.99,93.84,96.92,93.69,238.07,2.48
2022-11-10,93.67,92.53,94.32,91.73,278.53,1.1
2022-11-09,92.65,95.17,95.65,92.33,308.02,-2.84
2022-11-08,95.36,98.24,98.3,95.0,251.67,-2.61
2022-11-07,97.92,97.31,99.56,96.5,241.94,-0.66
2022-11-04,98.57,94.58,98.81,94.33,307.09,4.12
2022-11-03,94.67,95.36,95.98,94.19,229.12,-1.55
2022-11-02,96.16,94.85,96.5,94.01,253.0,1.6
2022-11-01,94.65,92.67,95.55,92.33,247.65,-0.19
2022-10-31,94.83,96.47,96.47,94.25,15.0,-0.98
2022-10-28,95.77,96.58,96.89,94.96,89.94,-1.23
2022-10-27,96.96,96.05,97.27,95.07,84.57,1.33
2022-10-26,95.69,92.91,96.25,92.06,138.0,4.31
2022-10-25,91.74,91.4,92.48,89.75,222.2,0.58
2022-10-24,91.21,91.23,92.3,89.01,178.75,-0.14
2022-10-21,91.34,90.48,91.72,89.17,181.51,0.98
2022-10-20,90.45,90.47,92.66,90.01,211.69,-0.12
2022-10-19,90.56,89.31,90.95,87.9,260.25,2.21
2022-10-18,88.6,90.53,91.22,87.52,247.36,-1.75
2022-10-17,90.18,90.2,91.79,89.49,163.34,0.03
2022-10-14,90.15,92.81,93.45,89.81,153.89,-4.67
2022-10-13,94.57,92.49,94.92,91.08,280.52,2.29
2022-10-12,92.45,93.72,95.17,91.56,257.66,-1.95
2022-10-11,94.29,95.93,96.46,93.11,259.03,-1.98
2022-10-10,96.19,98.75,98.75,95.6,215.37,-1.77
2022-10-07,97.92,94.71,98.58,93.94,269.4,3.71
2022-10-06,94.42,93.71,94.98,92.72,207.53,1.12
2022-10-05,93.37,91.89,93.96,90.76,296.2,1.71
2022-10-04,91.8,88.81,92.4,88.78,282.38,3.31
2022-10-03,88.86,86.35,89.82,86.35,270.69,1.02
2022-09-30,87.96,88.53,89.8,87.69,5.89,-0.6
2022-09-29,88.49,88.97,90.12,87.33,57.86,-0.93
2022-09-28,89.32,86.14,89.47,84.26,74.33,5.24
2022-09-27,84.87,82.84,85.84,82.81,252.52,2.43
2022-09-26,82.86,85.54,86.45,82.44,257.04,-2.55
2022-09-23,85.03,89.57,89.88,84.55,304.2,-5.03
2022-09-22,89.53,88.83,91.74,88.28,219.29,0.82
2022-09-21,88.8,89.57,92.23,88.31,247.64,-0.67
2022-09-20,89.4,90.85,91.57,88.56,209.16,-2.83
2022-09-19,92.0,91.43,92.57,88.5,138.53,0.71
2022-09-16,91.35,90.51,92.66,90.25,197.48,0.56
2022-09-15,90.84,94.65,94.66,90.03,257.62,-3.46
2022-09-14,94.1,93.4,95.8,91.93,259.9,1.0
2022-09-13,93.17,94.31,95.53,91.05,275.17,-0.88
2022-09-12,94.0,92.54,95.17,91.21,210.43,1.25
2022-09-09,92.84,88.62,93.12,88.6,202.94,4.76
2022-09-08,88.62,87.98,89.82,87.25,,0.7
2022-09-07,88.0,92.81,93.8,87.4,300.2,-5.2
2022-09-06,92.83,95.19,95.94,92.3,225.95,-3.04
2022-09-05,95.74,93.02,96.99,93.02,144.26,2.92
2022-09-02,93.02,92.66,95.32,92.65,210.0,0.71
2022-09-01,92.36,95.18,95.68,91.81,297.55,-4.28
2022-08-31,96.49,99.79,100.46,95.44,10.07,-1.38
2022-08-30,97.84,102.88,103.48,96.63,356.1,-4.95
2022-08-29,102.93,98.96,103.22,98.25,211.63,3.96
2022-08-26,99.01,98.95,100.1,96.96,277.48,0.56
2022-08-25,98.46,100.79,101.53,98.23,223.98,-1.87
2022-08-24,100.34,99.3,100.89,98.27,233.92,1.18
2022-08-23,99.17,96.0,99.41,95.81,198.99,3.51
2022-08-22,95.81,95.36,96.66,92.0,186.81,-0.94
2022-08-19,96.72,96.68,97.88,94.25,178.6,0.13
2022-08-18,96.59,93.29,97.42,93.05,208.55,3.14
2022-08-17,93.65,92.67,94.48,91.51,199.19,1.42
2022-08-16,92.34,94.01,95.95,91.71,217.75,-2.9
2022-08-15,95.1,97.72,98.17,92.78,217.57,-3.11
2022-08-12,98.15,99.33,100.38,96.94,188.13,-1.46
2022-08-11,99.6,97.04,100.17,96.63,219.42,2.26
2022-08-10,97.4,96.34,97.97,93.63,247.74,1.13
2022-08-09,96.31,96.36,98.4,94.9,219.67,-0.35
2022-08-08,96.65,94.51,96.82,93.01,201.25,1.82
2022-08-05,94.92,93.65,96.4,92.78,216.2,0.85
2022-08-04,94.12,97.1,97.66,93.2,264.81,-2.75
2022-08-03,96.78,99.73,102.41,96.5,293.11,-3.74
2022-08-02,100.54,99.87,102.41,98.49,229.68,0.51
2022-08-01,100.03,103.92,104.43,99.09,272.84,-9.07
2022-07-29,110.01,108.0,110.67,106.9,9.13,2.68
2022-07-28,107.14,107.31,109.06,106.0,80.84,0.49
2022-07-27,106.62,104.75,107.86,103.73,77.69,2.13
2022-07-26,104.4,104.73,107.34,103.99,110.0,-0.71
2022-07-25,105.15,103.85,105.38,101.64,123.67,1.89
2022-07-22,103.2,103.86,105.72,101.9,137.24,-0.64
2022-07-21,103.86,106.49,106.78,101.5,228.7,-2.86
2022-07-20,106.92,107.07,107.45,105.08,186.7,-0.4
2022-07-19,107.35,105.74,107.61,103.6,226.4,1.02
2022-07-18,106.27,100.82,106.48,99.46,213.5,5.05
2022-07-15,101.16,99.91,102.64,98.17,218.09,2.08
2022-07-14,99.1,99.43,100.39,94.5,318.79,-0.47
2022-07-13,99.57,98.5,101.21,98.28,247.47,0.08
2022-07-12,99.49,106.25,106.56,98.9,275.62,-7.11
2022-07-11,107.1,107.0,107.7,103.64,194.66,0.07
2022-07-08,107.02,104.65,107.47,103.67,238.35,2.26
2022-07-07,104.65,100.14,106.35,98.5,279.66,3.93
2022-07-06,100.69,104.88,105.85,98.5,350.3,-2.02
2022-07-05,102.77,113.54,114.75,101.1,428.84,-9.45
2022-07-04,113.5,111.65,114.0,110.4,100.59,1.68
2022-07-01,111.63,109.49,112.45,108.03,235.42,-2.77
2022-06-30,114.81,116.01,116.67,114.22,7.11,-1.25
2022-06-29,116.26,117.96,120.41,115.2,54.34,-1.46
2022-06-28,117.98,115.74,118.27,115.72,65.76,2.51
2022-06-27,115.09,112.92,116.08,111.26,118.1,1.74
2022-06-24,113.12,110.04,114.0,109.24,134.18,2.79
2022-06-23,110.05,109.58,112.7,108.04,195.92,-1.51
2022-06-22,111.74,114.4,114.45,107.03,293.05,-2.54
