date,USD,EUR,RUB,KGS,GBP,CNY,GLD,CHF,HKD,GEL,AED,INR,CAD,MYR,PLN,THB,TRY,UZS,UAH,CZK,ILS,KRW,JPY
2022-09-01,472.9583333333333,473.6875,7.44166666666667,5.843750000000003,568.3333333333334,67.0,26195.833333333332,478.75,56.0,141.0,121.08333333333333,5.400000000000002,335.0,96.0,109.0,12.699999999999996,33.166666666666664,4.049999999999998,16.699999999999992,18.424999999999997,125.0,37.0,3.2999999999999985
2022-09-02,473.2,473.075,7.441249999999999,5.749999999999999,556.5,67.0,25900.0,475.0,56.0,141.0,121.0,5.400000000000002,335.0,96.0,109.0,12.699999999999996,33.0,4.049999999999999,16.699999999999996,18.5,125.0,37.0,3.2999999999999985
2022-09-03,473.1666666666667,473.0,7.375,5.7250000000000005,555.0,66.0,25900.0,475.0,56.0,141.0,121.0,5.3999999999999995,335.0,96.0,109.0,12.700000000000001,33.0,4.05,16.7,18.5,125.0,37.0,3.3000000000000003
2022-09-04,472.0,473.5,7.375,5.725,555.0,65.0,25900.0,475.0,56.0,141.0,121.0,5.4,335.0,96.0,109.0,12.7,33.0,4.05,16.7,18.5,125.0,37.0,3.3
2022-09-05,472.97058823529414,472.2647058823529,7.395588235294118,5.689705882352939,555.0,65.0,25900.0,475.0,56.0,141.0,121.0,5.400000000000001,335.0,96.0,109.0,12.699999999999998,33.0,4.049999999999999,16.699999999999996,18.5,125.0,37.0,3.299999999999999
2022-09-06,473.71875,472.5,7.4125,5.650000000000001,555.0,65.0,26000.0,475.0,56.0,141.0,121.0,4.771874999999999,335.0,96.0,109.0,12.699999999999998,33.0,4.049999999999999,16.699999999999996,18.5,125.0,37.0,3.299999999999999
2022-08-07,457.625,487.5,5.85,5.05,588.0,67.9,25100.0,482.0,53.0,141.0,115.0,5.4,345.0,96.0,109.0,12.7,39.0,4.05,16.7,18.9,125.0,37.5,3.6
2022-09-07,474.9583333333333,471.1666666666667,7.474999999999999,5.6499999999999995,559.1666666666666,65.0,26100.0,475.0,56.0,141.0,121.0,4.799999999999999,335.0,96.0,109.0,12.700000000000001,33.0,4.049999999999999,16.699999999999996,18.5,125.0,37.0,3.2999999999999994
2022-08-08,478.3125,488.3125,5.849999999999999,5.399999999999999,596.5,67.89999999999999,25100.0,482.0,53.0,141.0,115.0,5.400000000000001,345.0,96.0,109.0,12.699999999999998,39.0,4.049999999999999,16.699999999999996,18.9,125.0,37.5,3.600000000000001
2022-08-09,479.00925925925924,489.3888888888889,7.318518518518516,5.849999999999998,605.0,67.90000000000003,25966.666666666668,482.0,55.22222222222222,141.0,118.4074074074074,5.400000000000002,337.22222222222223,96.0,109.0,12.699999999999996,33.666666666666664,4.049999999999998,16.699999999999992,18.89999999999999,125.0,38.31481481481482,3.5999999999999983
2022-08-10,480.25,491.55263157894734,7.460526315789475,5.857894736842104,605.0,68.7842105263158,26900.0,482.0,56.0,141.0,120.89473684210526,5.400000000000002,335.0,96.0,109.0,12.699999999999996,33.0,4.049999999999999,16.699999999999996,18.899999999999995,125.0,38.5,3.6
2022-08-11,478.75,494.8888888888889,7.444444444444447,5.900000000000002,605.0,70.0,26900.0,482.0,56.0,141.0,121.0,5.400000000000002,335.0,96.0,109.0,12.699999999999996,33.0,4.049999999999999,16.699999999999996,18.899999999999995,125.0,38.5,3.6000000000000005
2022-08-12,478.953125,493.875,7.475000000000001,5.903125000000002,605.0,69.375,26900.0,482.0,56.0,141.0,121.0,5.400000000000001,335.0,96.0,109.0,12.699999999999998,33.0,4.049999999999999,16.699999999999996,18.9,125.0,38.5,3.600000000000001
2022-08-13,478.9,492.0,7.470000000000001,5.909999999999999,605.0,69.0,26900.0,482.0,56.0,141.0,122.8,5.3999999999999995,335.0,96.0,109.0,12.700000000000001,33.0,4.049999999999999,16.699999999999996,18.48,125.0,38.5,3.3600000000000003
2022-08-14,479.0,490.5,7.4,5.95,605.0,69.0,26900.0,482.0,56.0,141.0,123.0,5.4,335.0,96.0,109.0,12.7,33.0,4.05,16.7,18.3,125.0,38.5,3.3
2022-08-15,477.828125,489.675,7.381250000000001,5.950000000000002,605.0,69.0,26900.0,482.0,56.0,141.0,123.0,5.400000000000001,335.0,96.0,109.0,12.699999999999998,33.0,4.049999999999999,16.699999999999996,18.300000000000004,125.0,38.5,3.299999999999999
2022-08-16,477.5769230769231,487.2307692307692,7.361538461538462,5.934615384615386,601.1538461538462,67.61538461538461,26900.0,482.0,56.0,141.0,123.0,5.4,335.0,96.0,109.0,12.7,33.0,4.049999999999999,16.699999999999996,18.300000000000004,125.0,38.5,3.2999999999999994
2022-08-17,478.1666666666667,487.43055555555554,7.425000000000001,5.900000000000002,600.0,67.0,26866.666666666668,482.0,56.0,141.0,123.0,5.400000000000002,335.0,96.0,109.0,12.699999999999996,33.0,4.049999999999999,16.699999999999996,18.300000000000004,125.0,38.5,3.299999999999999
2022-08-18,477.75,486.71153846153845,7.434615384615384,5.9,595.7692307692307,67.0,26700.0,482.0,56.0,141.0,123.0,5.4,335.0,96.0,109.0,12.7,33.0,4.049999999999999,16.699999999999996,18.300000000000004,125.0,38.5,3.2999999999999994
2022-08-19,477.5652173913044,483.6521739130435,7.445652173913045,5.932608695652177,584.5652173913044,67.0,26700.0,483.04347826086956,56.0,141.0,123.0,5.400000000000003,335.0,96.0,109.0,12.699999999999996,33.0,4.049999999999998,16.699999999999992,18.300000000000008,125.0,38.5,3.2999999999999985
