mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_importance_type,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_lambda,params,split0_test_neg_mean_squared_log_error,split1_test_neg_mean_squared_log_error,split2_test_neg_mean_squared_log_error,split3_test_neg_mean_squared_log_error,split4_test_neg_mean_squared_log_error,mean_test_neg_mean_squared_log_error,std_test_neg_mean_squared_log_error,rank_test_neg_mean_squared_log_error,split0_test_neg_median_absolute_error,split1_test_neg_median_absolute_error,split2_test_neg_median_absolute_error,split3_test_neg_median_absolute_error,split4_test_neg_median_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.04278125762939453,0.009538027900467096,0.0036783218383789062,0.00048027428204271713,gain,0.05,-1,5,1,20,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 20, 'reg_lambda': 0}",-5.879917832865145,-4.927364574864696,-4.545000829760088,-4.4959327480061315,-3.4632607425854958,-4.662295345616312,0.7787149304266852,1486,-30028.835929654677,-28451.365828550744,-26023.13880197105,-26451.348157307108,-25491.061080561885,-27289.149959609094,1696.7288922301127,1558,-1974982073.3172743,-1299549022.6278543,-1245367110.281818,-1332844240.762973,-1411058307.642457,-1452760150.926475,266578366.94358402,19,-0.01703054140240856,-0.005351832490536612,-0.0030739560472612393,-0.0016105244351156678,-0.00020267896516434902,-0.0054539066680972855,0.00603390479281624,19
0.03753795623779297,0.006451768430092273,0.00412602424621582,0.001742995129982172,gain,0.05,-1,5,1,20,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 20, 'reg_lambda': 0.01}",-5.87992054912445,-4.927371285112028,-4.545000870135556,-4.495934345650393,-3.4632630906735473,-4.662298028139195,0.7787154441210073,1498,-30028.83577444299,-28451.366337119765,-26023.138957417796,-26451.348196210205,-25491.061320528293,-27289.150117143807,1696.728833878361,1567,-1974980636.6193693,-1299549209.6355333,-1245367111.8442507,-1332844225.6224022,-1411058270.787865,-1452759890.901884,266577784.82710394,10,-0.017029801564985014,-0.00535197716265734,-0.0030739573057139147,-0.0016105130572257043,-0.00020265284146603335,-0.0054537803864096015,0.006033626312184773,10
0.032230567932128903,0.0016410725094795416,0.0031673431396484373,0.00022223667826873556,gain,0.05,-1,5,1,20,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 20, 'reg_lambda': 0.03}",-5.87992597451021,-4.927384687597019,-4.5450009508832725,-4.495937536936152,-3.4632677825047997,-4.6623033864862915,0.778716469579888,1510,-30028.835464025884,-28451.36735424776,-26023.139268309635,-26451.348274015854,-25491.0618004532,-27289.150432210463,1696.7287171775627,1576,-1974977767.191781,-1299549583.6429381,-1245367114.9690313,-1332844195.4845989,-1411058197.2982786,-1452759371.7173257,266576622.13019267,1,-0.01702832393360154,-0.005352266500745495,-0.0030739598225508757,-0.0016104904091622796,-0.0002026007497268889,-0.005453528283157416,0.006033070104335448,1
0.034064531326293945,0.004263448429622833,0.003443622589111328,0.0008665214621990818,gain,0.05,-1,5,1,40,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 40, 'reg_lambda': 0}",-5.879368240716395,-4.927351733002816,-4.54544045080655,-4.496135585466112,-3.46332303572045,-4.662323809142464,0.7785011302062459,1522,-29984.910289478245,-28423.466880749336,-26038.07470412735,-26491.1496877778,-25474.21778638714,-27282.363869703975,1676.2780736332504,1495,-1975348730.9595673,-1299643474.6383574,-1245411101.2931218,-1332864821.1172254,-1411174268.0490506,-1452888479.2114644,266698842.27210233,94,-0.017219354265820552,-0.00542490207097468,-0.003109388360652776,-0.001625990232832386,-0.0002848753625073197,-0.005532902058557543,0.006087100985696545,94
0.04000620841979981,0.004920649240107346,0.003115272521972656,0.00017162763740847741,gain,0.05,-1,5,1,40,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 40, 'reg_lambda': 0.01}",-5.8793708419653905,-4.927358825645488,-4.545440508654975,-4.496137192055188,-3.463325310123673,-4.662326535688942,0.778501655530642,1528,-29984.909528598637,-28423.46778128921,-26038.077729624623,-26491.151765907303,-25474.21825478974,-27282.365012041897,1676.277204507685,1501,-1975347326.6696038,-1299643652.8502543,-1245411104.4298196,-1332864806.8483036,-1411174237.3505075,-1452888225.629698,266698273.35072878,88,-0.017218631117088545,-0.005425039938537823,-0.0031093908870882814,-0.0016259795099724528,-0.00028485360241070623,-0.005532779011019562,0.006086827754874811,88
0.03379077911376953,0.001480081012104736,0.0032311439514160155,0.0004073073561390583,gain,0.05,-1,5,1,40,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 40, 'reg_lambda': 0.03}",-5.879376037445431,-4.927372991676399,-4.545440624347036,-4.4961404012302815,-3.4633298546066897,-4.6623319818611675,0.7785027041971944,1534,-29984.908006873655,-28423.469582322432,-26038.083780347028,-26491.15592200182,-25474.219191566088,-27282.367296622204,1676.2754663251217,1507,-1975344522.0244212,-1299644009.337865,-1245411110.7030501,-1332864778.45376,-1411174176.1708016,-1452887719.3379796,266697137.02274615,82,-0.017217186845848387,-0.005425315723034174,-0.0031093959398267312,-0.0016259581719400007,-0.0002848102363035565,-0.00553253338339057,0.0060862820398994615,82
0.03380117416381836,0.0015626027709766924,0.0034114837646484373,0.0005880016718640506,gain,0.05,-1,5,1,60,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 60, 'reg_lambda': 0}",-5.879322434009621,-4.927862597395405,-4.546317355271922,-4.495745756275936,-3.463149859202772,-4.662479600431132,0.7785653841381787,1573,-29968.806137904652,-28451.512490002693,-26053.219165537426,-26483.883295506832,-25474.21778638714,-27286.327775067748,1673.413408799978,1540,-1975361149.1083565,-1299728798.9071102,-1245497275.5530689,-1332838279.5976162,-1411225264.5913515,-1452930153.5515008,266681291.06146538,175,-0.01722574907656682,-0.005490910284941863,-0.00317879693513734,-0.0016060447173986692,-0.00032102332177386117,-0.005564504867163711,0.006080216122555601,175
0.04017705917358398,0.0046308040739192115,0.004315519332885742,0.001868108085244858,gain,0.05,-1,5,1,60,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 60, 'reg_lambda': 0.01}",-5.8793250317330354,-4.927854323157063,-4.546317400240309,-4.49574739324529,-3.4631520840805705,-4.6624792464912534,0.778564875175267,1567,-29968.80203608926,-28451.514320293143,-26053.222660963205,-26483.883099285496,-25474.21825478974,-27286.328074284167,1673.411750874303,1546,-1975359745.3445492,-1299727793.2690682,-1245497276.1979303,-1332838268.2867246,-1411225243.4575238,-1452929665.3111591,266680858.18653873,169,-0.017225026198782745,-0.005490132307327311,-0.0031787974545371966,-0.0016060362174497023,-0.0003210083414495468,-0.0055642001039093005,0.006079944379071279,169
0.03727269172668457,0.0027588269390466805,0.006389904022216797,0.003908376004584407,gain,0.05,-1,5,1,60,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 60, 'reg_lambda': 0.03}",-5.879330220162591,-4.927868599815613,-4.546317490223258,-4.495750663170328,-3.463156529569125,-4.662484700588183,0.7785659579348446,1579,-29968.79383364153,-28451.517980611352,-26053.22965142205,-26483.882706850407,-25474.219191566088,-27286.328672818287,1673.408435435673,1552,-1975356941.7515676,-1299728165.888218,-1245497277.4940917,-1332838245.8071427,-1411225201.3955617,-1452929166.4673164,266679720.06045133,163,-0.017223582469380494,-0.005490420571439447,-0.0031787984985232054,-0.0016060193244136212,-0.0003209785266027332,-0.0055639598780719,0.006079397152448762,163
0.036995458602905276,0.0016417448540650614,0.004793739318847657,0.003430097512803315,gain,0.05,-1,5,1,80,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 80, 'reg_lambda': 0}",-5.879230839372796,-4.9279414220175894,-4.546405107089708,-4.495616638939435,-3.4633074654972233,-4.66250029458335,0.7784964867189872,1585,-29968.806137904652,-28451.512490002693,-26067.74224438869,-26468.498042138548,-25497.83935341013,-27290.87965356894,1667.6767667065164,1603,-1975371417.112204,-1299748998.425317,-1245471918.1365502,-1332830684.3467267,-1411211909.7319398,-1452926985.5505474,266688040.19627762,157,-0.017231036655453558,-0.005506536954110075,-0.0031583729461845955,-0.00160033701128115,-0.0003115569757776715,-0.00556156810856141,0.006086194875022489,157
