mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_importance_type,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_lambda,params,split0_test_neg_mean_squared_log_error,split1_test_neg_mean_squared_log_error,split2_test_neg_mean_squared_log_error,split3_test_neg_mean_squared_log_error,split4_test_neg_mean_squared_log_error,mean_test_neg_mean_squared_log_error,std_test_neg_mean_squared_log_error,rank_test_neg_mean_squared_log_error,split0_test_neg_median_absolute_error,split1_test_neg_median_absolute_error,split2_test_neg_median_absolute_error,split3_test_neg_median_absolute_error,split4_test_neg_median_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.4195030689239502,0.010151832146908731,0.011385202407836914,0.007337926977606998,gain,0.05,-1,5,1,20,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 20, 'reg_lambda': 0}",-4.041721171676734,-8.803856272253888,-3.371917973640661,-2.715595590739304,-4.602104590361761,-4.707039119734469,2.1441066117412775,1549,-30175.7900331516,-28199.407433489825,-26239.975248763243,-25952.789900181295,-26827.081686050093,-27479.00886032721,1554.4233943022018,1168,-1317022060.4508958,-1163442277.297054,-1734877376.8942888,-2055837663.2907407,-1144919521.387527,-1483219779.8641014,356524665.21532506,1555,-0.023002708163789354,-0.15312597398402028,-0.0003135277825339067,-0.1325268443788583,-0.04779304217770464,-0.0713524192973813,0.06061103439929922,880
0.3923940181732178,0.007421390475869145,0.007571601867675781,0.0010487032539280379,gain,0.05,-1,5,1,20,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 20, 'reg_lambda': 0.01}",-4.041721829786616,-8.803857335527667,-3.371919099490376,-2.715596087185963,-4.60210562980286,-4.707039996358697,2.14410673461964,1555,-30175.790038349784,-28199.4067385108,-26239.975416395093,-25952.79010709925,-26827.081646339633,-27479.008789338917,1554.4232676624995,1162,-1317022315.5269673,-1163442606.4544513,-1734877966.1361983,-2055837848.2932696,-1144919644.358026,-1483220076.1537826,356524701.662665,1559,-0.0230029062952557,-0.15312630022276186,-0.0003138675337237551,-0.13252694629368067,-0.04779315471629886,-0.07135263501234416,0.06061102300144525,884
0.4102869987487793,0.008304839611695205,0.011323165893554688,0.002928381581615,gain,0.05,-1,5,1,20,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 20, 'reg_lambda': 0.03}",-4.041723143848814,-8.803859458867091,-3.371921346530177,-2.7155970786534227,-4.60210770515688,-4.707041746611276,2.1441069801640587,1561,-30175.790048745992,-28199.40534857851,-26239.97575165605,-25952.790520928746,-26827.081566919347,-27479.00864736573,1554.4230143872437,1156,-1317022824.9718173,-1163443263.8086848,-1734879142.331746,-2055838217.8267663,-1144919889.888535,-1483220667.7655098,356524774.39919096,1563,-0.02300330200879519,-0.153126951748201,-0.0003145457167086363,-0.1325271498635503,-0.04779337941782069,-0.07135306575101516,0.06061100032304341,888
0.4129663944244385,0.02194510079304157,0.008851003646850587,0.0019578176835430465,gain,0.05,-1,5,1,40,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 40, 'reg_lambda': 0}",-4.041302947076286,-8.803419939111885,-3.3713750340394633,-2.7153666486395647,-4.601769699448351,-4.70664685366311,2.1440792491121,1447,-30192.100590839116,-28178.9384280569,-26251.246514990547,-25960.853156651498,-26858.161795759785,-27488.26009725957,1552.2878860470523,1303,-1316738304.8866136,-1163138224.3514924,-1734483357.1445858,-2055589094.7272427,-1144816785.2786572,-1482953153.277718,356489700.51053435,1477,-0.022782299774716686,-0.15282461709177442,-8.633980308903055e-05,-0.13238991208315376,-0.04769902143821736,-0.07115643803819025,0.060597848679583975,757
0.39173498153686526,0.02733417107795979,0.01204991340637207,0.0038096185165089466,gain,0.05,-1,5,1,40,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 40, 'reg_lambda': 0.01}",-4.041303824996895,-8.803421297660407,-3.3713766265929865,-2.7153672356312013,-4.601771004487131,-4.706647997873724,2.1440793936329468,1451,-30192.10213517098,-28178.938238911927,-26251.24654620803,-25960.857574440128,-26858.16226764852,-27488.261352475918,1552.2874945322656,1307,-1316738656.1102297,-1163138669.4172547,-1734484221.5583704,-2055589383.682773,-1144816968.4225683,-1482953579.8382392,356489767.97265285,1481,-0.022782572589213235,-0.15282505821111547,-8.683821572263994e-05,-0.13239007126395919,-0.04769918904555759,-0.07115674586511363,0.06059782630789246,761
0.39514665603637694,0.010754257332922767,0.006907987594604492,0.0005047667932479214,gain,0.05,-1,5,1,40,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 40, 'reg_lambda': 0.03}",-4.041305577852869,-8.80342401035886,-3.371379805088014,-2.715368407956448,-4.601773609746077,-4.706650282200454,2.144079682357827,1455,-30192.105223754632,-28178.93786062789,-26251.246608641144,-25960.86640560182,-26858.16321139955,-27488.263862005006,1552.2867123519422,1311,-1316739357.5685809,-1163139558.2188222,-1734485947.0449347,-2055589960.9797726,-1144817334.014015,-1482954431.5652251,356489902.69151825,1485,-0.022783117450088763,-0.15282593913163312,-8.783311459859e-05,-0.13239038928729396,-0.047699523622937834,-0.07115736052131046,0.060597781765612306,765
0.38010149002075194,0.011149507919505815,0.008654260635375976,0.001970539289728531,gain,0.05,-1,5,1,60,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 60, 'reg_lambda': 0}",-4.041301172120376,-8.803446977949779,-3.371372284092675,-2.715366269901065,-4.601726817016122,-4.706642704216003,2.1440905245682127,1435,-30166.91938700456,-28171.109121862195,-26255.248846896386,-25962.96962777788,-26860.015606693356,-27483.25251804688,1541.6155098746701,1197,-1316730069.7419837,-1163160597.130847,-1734472893.2050838,-2055560648.2563393,-1144802982.3798113,-1482945438.142813,356478457.4491328,1465,-0.022775903089716776,-0.1528467914905285,-8.030639670697504e-05,-0.13237424139450904,-0.04768638947492021,-0.0711527263692763,0.06060407421393155,745
0.3868826389312744,0.018677510547384864,0.010549211502075195,0.003292482720462085,gain,0.05,-1,5,1,60,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 60, 'reg_lambda': 0.01}",-4.041302005613944,-8.803448352154776,-3.37137387337387,-2.7153668632189367,-4.601728065469509,-4.706643831966207,2.1440906776147948,1439,-30166.908528325028,-28171.110858522945,-26255.24806447872,-25962.969625544218,-26860.004843388408,-27483.24838405186,1541.6128796274213,1193,-1316730434.1511893,-1163161055.4118073,-1734473765.8976178,-2055560970.7503648,-1144803144.7229798,-1482945874.186792,356478537.20397204,1469,-0.0227761861461786,-0.15284724570788777,-8.080958278733341e-05,-0.13237441905111447,-0.04768653804609846,-0.07115303970681333,0.060604057848277375,749
0.4094394683837891,0.017540722868400117,0.0102752685546875,0.003209895633252723,gain,0.05,-1,5,1,60,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 60, 'reg_lambda': 0.03}",-4.041303669651895,-8.803451096154292,-3.371377045329294,-2.7153680481945752,-4.601730557630857,-4.706646083392182,2.1440909833834065,1443,-30166.88681351067,-28171.114331714198,-26255.24649971485,-25962.969621076954,-26859.983319152525,-27483.240117033838,1541.607619849589,1189,-1316731161.9686375,-1163161970.6370482,-1734475507.9387448,-2055561615.0928674,-1144803468.7379112,-1482946744.875042,356478696.4953293,1473,-0.022776751481599078,-0.15284815281777875,-8.181402686413541e-05,-0.132374774008704,-0.04768683457400669,-0.07115366538179053,0.06060402531288102,753
0.3925171852111816,0.033208731286020386,0.009424829483032226,0.0020721416179745548,gain,0.05,-1,5,1,80,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 80, 'reg_lambda': 0}",-4.041290951963747,-8.80342444561177,-3.371377815939277,-2.7153666758069983,-4.6017335409241875,-4.706638686049195,2.144081717962342,1423,-30166.91938700456,-28174.46728684681,-26245.98135254521,-25968.90024798603,-26870.316019680664,-27485.316858812654,1541.4031463886424,1238,-1316716967.4232192,-1163135438.355415,-1734470685.6285317,-2055555412.982629,-1144801091.51601,-1482935919.181161,356482558.49430037,1445,-0.022765725805689696,-0.15282185579926977,-7.903352940341613e-05,-0.13237135736912098,-0.04768465901797736,-0.07114452630429224,0.06059882667145474,725
